id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
10942,XO-4 b,889,1.42 Jupiters,10.814,2008
10943,XO-5 b,901,1.19 Jupiters,12.198,2008
10944,XO-6 b,768,4.4 Jupiters,10.247,2016
10945,XO-7 b,764,0.709 Jupiters,10.521,2019
10946,YSES 2 b,357,6.3 Jupiters,10.885,2021
10947,YZ Ceti b,12,0.7 Earths,12.074,2017
10948,YZ Ceti c,12,1.14 Earths,12.074,2017
10949,YZ Ceti d,12,1.09 Earths,12.074,2017
10950,Wolf 1061 b,14,1.91 Earths,10.1,2015
10951,Wolf 1061 c,14,3.41 Earths,10.1,2015
10952,Wolf 1061 d,14,7.7 Earths,10.1,2015
10953,Wolf 503 b,145,6.26 Earths,10.27,2018
10954,WTS-1 b,7653,4.01 Jupiters,16.644,2012
10955,WTS-2 b,3362,1.12 Jupiters,15.954,2014
10956,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
10957,XO-1 b,534,0.83 Jupiters,11.251,2006
10958,XO-2 N b,503,0.566 Jupiters,11.246,2007
10959,XO-2 S b,494,0.26 Jupiters,11.196,2014
10960,XO-2 S c,494,1.37 Jupiters,11.196,2014
10961,XO-3 b,695,7.29 Jupiters,9.854,2007
10962,XO-4 b,889,1.42 Jupiters,10.814,2008
10963,XO-5 b,901,1.19 Jupiters,12.198,2008
10964,XO-6 b,768,4.4 Jupiters,10.247,2016
10965,XO-7 b,764,0.709 Jupiters,10.521,2019
10966,YSES 2 b,357,6.3 Jupiters,10.885,2021
10967,YZ Ceti b,12,0.7 Earths,12.074,2017
10968,YZ Ceti c,12,1.14 Earths,12.074,2017
10969,YZ Ceti d,12,1.09 Earths,12.074,2017
10970,Wolf 1061 b,14,1.91 Earths,10.1,2015
10971,Wolf 1061 c,14,3.41 Earths,10.1,2015
10972,Wolf 1061 d,14,7.7 Earths,10.1,2015
10973,Wolf 503 b,145,6.26 Earths,10.27,2018
10974,WTS-1 b,7653,4.01 Jupiters,16.644,2012
10975,WTS-2 b,3362,1.12 Jupiters,15.954,2014
10976,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
10977,XO-1 b,534,0.83 Jupiters,11.251,2006
10978,XO-2 N b,503,0.566 Jupiters,11.246,2007
10979,XO-2 S b,494,0.26 Jupiters,11.196,2014
10980,XO-2 S c,494,1.37 Jupiters,11.196,2014
10981,XO-3 b,695,7.29 Jupiters,9.854,2007
10982,XO-4 b,889,1.42 Jupiters,10.814,2008
10983,XO-5 b,901,1.19 Jupiters,12.198,2008
10984,XO-6 b,768,4.4 Jupiters,10.247,2016
10985,XO-7 b,764,0.709 Jupiters,10.521,2019
10986,YSES 2 b,357,6.3 Jupiters,10.885,2021
10987,YZ Ceti b,12,0.7 Earths,12.074,2017
10988,YZ Ceti c,12,1.14 Earths,12.074,2017
10989,YZ Ceti d,12,1.09 Earths,12.074,2017
10990,Wolf 1061 b,14,1.91 Earths,10.1,2015
10991,Wolf 1061 c,14,3.41 Earths,10.1,2015
10992,Wolf 1061 d,14,7.7 Earths,10.1,2015
10993,Wolf 503 b,145,6.26 Earths,10.27,2018
10994,WTS-1 b,7653,4.01 Jupiters,16.644,2012
10995,WTS-2 b,3362,1.12 Jupiters,15.954,2014
10996,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
10997,XO-1 b,534,0.83 Jupiters,11.251,2006
10998,XO-2 N b,503,0.566 Jupiters,11.246,2007
10999,XO-2 S b,494,0.26 Jupiters,11.196,2014
11000,XO-2 S c,494,1.37 Jupiters,11.196,2014
11001,XO-3 b,695,7.29 Jupiters,9.854,2007
11002,XO-4 b,889,1.42 Jupiters,10.814,2008
11003,XO-5 b,901,1.19 Jupiters,12.198,2008
11004,XO-6 b,768,4.4 Jupiters,10.247,2016
11005,XO-7 b,764,0.709 Jupiters,10.521,2019
11006,YSES 2 b,357,6.3 Jupiters,10.885,2021
11007,YZ Ceti b,12,0.7 Earths,12.074,2017
11008,YZ Ceti c,12,1.14 Earths,12.074,2017
11009,YZ Ceti d,12,1.09 Earths,12.074,2017
11010,Wolf 1061 b,14,1.91 Earths,10.1,2015
11011,Wolf 1061 c,14,3.41 Earths,10.1,2015
11012,Wolf 1061 d,14,7.7 Earths,10.1,2015
11013,Wolf 503 b,145,6.26 Earths,10.27,2018
11014,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11015,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11016,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11017,XO-1 b,534,0.83 Jupiters,11.251,2006
11018,XO-2 N b,503,0.566 Jupiters,11.246,2007
11019,XO-2 S b,494,0.26 Jupiters,11.196,2014
11020,XO-2 S c,494,1.37 Jupiters,11.196,2014
11021,XO-3 b,695,7.29 Jupiters,9.854,2007
11022,XO-4 b,889,1.42 Jupiters,10.814,2008
11023,XO-5 b,901,1.19 Jupiters,12.198,2008
11024,XO-6 b,768,4.4 Jupiters,10.247,2016
11025,XO-7 b,764,0.709 Jupiters,10.521,2019
11026,YSES 2 b,357,6.3 Jupiters,10.885,2021
11027,YZ Ceti b,12,0.7 Earths,12.074,2017
11028,YZ Ceti c,12,1.14 Earths,12.074,2017
11029,YZ Ceti d,12,1.09 Earths,12.074,2017
11030,Wolf 1061 b,14,1.91 Earths,10.1,2015
11031,Wolf 1061 c,14,3.41 Earths,10.1,2015
11032,Wolf 1061 d,14,7.7 Earths,10.1,2015
11033,Wolf 503 b,145,6.26 Earths,10.27,2018
11034,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11035,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11036,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11037,XO-1 b,534,0.83 Jupiters,11.251,2006
11038,XO-2 N b,503,0.566 Jupiters,11.246,2007
11039,XO-2 S b,494,0.26 Jupiters,11.196,2014
11040,XO-2 S c,494,1.37 Jupiters,11.196,2014
11041,XO-3 b,695,7.29 Jupiters,9.854,2007
11042,XO-4 b,889,1.42 Jupiters,10.814,2008
11043,XO-5 b,901,1.19 Jupiters,12.198,2008
11044,XO-6 b,768,4.4 Jupiters,10.247,2016
11045,XO-7 b,764,0.709 Jupiters,10.521,2019
11046,YSES 2 b,357,6.3 Jupiters,10.885,2021
11047,YZ Ceti b,12,0.7 Earths,12.074,2017
11048,YZ Ceti c,12,1.14 Earths,12.074,2017
11049,YZ Ceti d,12,1.09 Earths,12.074,2017
11050,Wolf 1061 b,14,1.91 Earths,10.1,2015
11051,Wolf 1061 c,14,3.41 Earths,10.1,2015
11052,Wolf 1061 d,14,7.7 Earths,10.1,2015
11053,Wolf 503 b,145,6.26 Earths,10.27,2018
11054,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11055,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11056,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11057,XO-1 b,534,0.83 Jupiters,11.251,2006
11058,XO-2 N b,503,0.566 Jupiters,11.246,2007
11059,XO-2 S b,494,0.26 Jupiters,11.196,2014
11060,XO-2 S c,494,1.37 Jupiters,11.196,2014
11061,XO-3 b,695,7.29 Jupiters,9.854,2007
11062,XO-4 b,889,1.42 Jupiters,10.814,2008
11063,XO-5 b,901,1.19 Jupiters,12.198,2008
11064,XO-6 b,768,4.4 Jupiters,10.247,2016
11065,XO-7 b,764,0.709 Jupiters,10.521,2019
11066,YSES 2 b,357,6.3 Jupiters,10.885,2021
11067,YZ Ceti b,12,0.7 Earths,12.074,2017
11068,YZ Ceti c,12,1.14 Earths,12.074,2017
11069,YZ Ceti d,12,1.09 Earths,12.074,2017
11070,Wolf 1061 b,14,1.91 Earths,10.1,2015
11071,Wolf 1061 c,14,3.41 Earths,10.1,2015
11072,Wolf 1061 d,14,7.7 Earths,10.1,2015
11073,Wolf 503 b,145,6.26 Earths,10.27,2018
11074,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11075,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11076,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11077,XO-1 b,534,0.83 Jupiters,11.251,2006
11078,XO-2 N b,503,0.566 Jupiters,11.246,2007
11079,XO-2 S b,494,0.26 Jupiters,11.196,2014
11080,XO-2 S c,494,1.37 Jupiters,11.196,2014
11081,XO-3 b,695,7.29 Jupiters,9.854,2007
11082,XO-4 b,889,1.42 Jupiters,10.814,2008
11083,XO-5 b,901,1.19 Jupiters,12.198,2008
11084,XO-6 b,768,4.4 Jupiters,10.247,2016
11085,XO-7 b,764,0.709 Jupiters,10.521,2019
11086,YSES 2 b,357,6.3 Jupiters,10.885,2021
11087,YZ Ceti b,12,0.7 Earths,12.074,2017
11088,YZ Ceti c,12,1.14 Earths,12.074,2017
11089,YZ Ceti d,12,1.09 Earths,12.074,2017
11090,Wolf 1061 b,14,1.91 Earths,10.1,2015
11091,Wolf 1061 c,14,3.41 Earths,10.1,2015
11092,Wolf 1061 d,14,7.7 Earths,10.1,2015
11093,Wolf 503 b,145,6.26 Earths,10.27,2018
11094,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11095,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11096,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11097,XO-1 b,534,0.83 Jupiters,11.251,2006
11098,XO-2 N b,503,0.566 Jupiters,11.246,2007
11099,XO-2 S b,494,0.26 Jupiters,11.196,2014
11100,XO-2 S c,494,1.37 Jupiters,11.196,2014
11101,XO-3 b,695,7.29 Jupiters,9.854,2007
11102,XO-4 b,889,1.42 Jupiters,10.814,2008
11103,XO-5 b,901,1.19 Jupiters,12.198,2008
11104,XO-6 b,768,4.4 Jupiters,10.247,2016
11105,XO-7 b,764,0.709 Jupiters,10.521,2019
11106,YSES 2 b,357,6.3 Jupiters,10.885,2021
11107,YZ Ceti b,12,0.7 Earths,12.074,2017
11108,YZ Ceti c,12,1.14 Earths,12.074,2017
11109,YZ Ceti d,12,1.09 Earths,12.074,2017
11110,Wolf 1061 b,14,1.91 Earths,10.1,2015
11111,Wolf 1061 c,14,3.41 Earths,10.1,2015
11112,Wolf 1061 d,14,7.7 Earths,10.1,2015
11113,Wolf 503 b,145,6.26 Earths,10.27,2018
11114,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11115,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11116,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11117,XO-1 b,534,0.83 Jupiters,11.251,2006
11118,XO-2 N b,503,0.566 Jupiters,11.246,2007
11119,XO-2 S b,494,0.26 Jupiters,11.196,2014
11120,XO-2 S c,494,1.37 Jupiters,11.196,2014
11121,XO-3 b,695,7.29 Jupiters,9.854,2007
11122,XO-4 b,889,1.42 Jupiters,10.814,2008
11123,XO-5 b,901,1.19 Jupiters,12.198,2008
11124,XO-6 b,768,4.4 Jupiters,10.247,2016
11125,XO-7 b,764,0.709 Jupiters,10.521,2019
11126,YSES 2 b,357,6.3 Jupiters,10.885,2021
11127,YZ Ceti b,12,0.7 Earths,12.074,2017
11128,YZ Ceti c,12,1.14 Earths,12.074,2017
11129,YZ Ceti d,12,1.09 Earths,12.074,2017
11130,Wolf 1061 b,14,1.91 Earths,10.1,2015
11131,Wolf 1061 c,14,3.41 Earths,10.1,2015
11132,Wolf 1061 d,14,7.7 Earths,10.1,2015
11133,Wolf 503 b,145,6.26 Earths,10.27,2018
11134,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11135,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11136,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11137,XO-1 b,534,0.83 Jupiters,11.251,2006
11138,XO-2 N b,503,0.566 Jupiters,11.246,2007
11139,XO-2 S b,494,0.26 Jupiters,11.196,2014
11140,XO-2 S c,494,1.37 Jupiters,11.196,2014
11141,XO-3 b,695,7.29 Jupiters,9.854,2007
11142,XO-4 b,889,1.42 Jupiters,10.814,2008
11143,XO-5 b,901,1.19 Jupiters,12.198,2008
11144,XO-6 b,768,4.4 Jupiters,10.247,2016
11145,XO-7 b,764,0.709 Jupiters,10.521,2019
11146,YSES 2 b,357,6.3 Jupiters,10.885,2021
11147,YZ Ceti b,12,0.7 Earths,12.074,2017
11148,YZ Ceti c,12,1.14 Earths,12.074,2017
11149,YZ Ceti d,12,1.09 Earths,12.074,2017
11150,Wolf 1061 b,14,1.91 Earths,10.1,2015
11151,Wolf 1061 c,14,3.41 Earths,10.1,2015
11152,Wolf 1061 d,14,7.7 Earths,10.1,2015
11153,Wolf 503 b,145,6.26 Earths,10.27,2018
11154,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11155,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11156,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11157,XO-1 b,534,0.83 Jupiters,11.251,2006
11158,XO-2 N b,503,0.566 Jupiters,11.246,2007
11159,XO-2 S b,494,0.26 Jupiters,11.196,2014
11160,XO-2 S c,494,1.37 Jupiters,11.196,2014
11161,XO-3 b,695,7.29 Jupiters,9.854,2007
11162,XO-4 b,889,1.42 Jupiters,10.814,2008
11163,XO-5 b,901,1.19 Jupiters,12.198,2008
11164,XO-6 b,768,4.4 Jupiters,10.247,2016
11165,XO-7 b,764,0.709 Jupiters,10.521,2019
11166,YSES 2 b,357,6.3 Jupiters,10.885,2021
11167,YZ Ceti b,12,0.7 Earths,12.074,2017
11168,YZ Ceti c,12,1.14 Earths,12.074,2017
11169,YZ Ceti d,12,1.09 Earths,12.074,2017
11170,Wolf 1061 b,14,1.91 Earths,10.1,2015
11171,Wolf 1061 c,14,3.41 Earths,10.1,2015
11172,Wolf 1061 d,14,7.7 Earths,10.1,2015
11173,Wolf 503 b,145,6.26 Earths,10.27,2018
11174,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11175,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11176,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11177,XO-1 b,534,0.83 Jupiters,11.251,2006
11178,XO-2 N b,503,0.566 Jupiters,11.246,2007
11179,XO-2 S b,494,0.26 Jupiters,11.196,2014
11180,XO-2 S c,494,1.37 Jupiters,11.196,2014
11181,XO-3 b,695,7.29 Jupiters,9.854,2007
11182,XO-4 b,889,1.42 Jupiters,10.814,2008
11183,XO-5 b,901,1.19 Jupiters,12.198,2008
11184,XO-6 b,768,4.4 Jupiters,10.247,2016
11185,XO-7 b,764,0.709 Jupiters,10.521,2019
11186,YSES 2 b,357,6.3 Jupiters,10.885,2021
11187,YZ Ceti b,12,0.7 Earths,12.074,2017
11188,YZ Ceti c,12,1.14 Earths,12.074,2017
11189,YZ Ceti d,12,1.09 Earths,12.074,2017
11190,Wolf 1061 b,14,1.91 Earths,10.1,2015
11191,Wolf 1061 c,14,3.41 Earths,10.1,2015
11192,Wolf 1061 d,14,7.7 Earths,10.1,2015
11193,Wolf 503 b,145,6.26 Earths,10.27,2018
11194,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11195,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11196,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11197,XO-1 b,534,0.83 Jupiters,11.251,2006
11198,XO-2 N b,503,0.566 Jupiters,11.246,2007
11199,XO-2 S b,494,0.26 Jupiters,11.196,2014
11200,XO-2 S c,494,1.37 Jupiters,11.196,2014
11201,XO-3 b,695,7.29 Jupiters,9.854,2007
11202,XO-4 b,889,1.42 Jupiters,10.814,2008
11203,XO-5 b,901,1.19 Jupiters,12.198,2008
11204,XO-6 b,768,4.4 Jupiters,10.247,2016
11205,XO-7 b,764,0.709 Jupiters,10.521,2019
11206,YSES 2 b,357,6.3 Jupiters,10.885,2021
11207,YZ Ceti b,12,0.7 Earths,12.074,2017
11208,YZ Ceti c,12,1.14 Earths,12.074,2017
11209,YZ Ceti d,12,1.09 Earths,12.074,2017
11210,Wolf 1061 b,14,1.91 Earths,10.1,2015
11211,Wolf 1061 c,14,3.41 Earths,10.1,2015
11212,Wolf 1061 d,14,7.7 Earths,10.1,2015
11213,Wolf 503 b,145,6.26 Earths,10.27,2018
11214,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11215,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11216,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11217,XO-1 b,534,0.83 Jupiters,11.251,2006
11218,XO-2 N b,503,0.566 Jupiters,11.246,2007
11219,XO-2 S b,494,0.26 Jupiters,11.196,2014
11220,XO-2 S c,494,1.37 Jupiters,11.196,2014
11221,XO-3 b,695,7.29 Jupiters,9.854,2007
11222,XO-4 b,889,1.42 Jupiters,10.814,2008
11223,XO-5 b,901,1.19 Jupiters,12.198,2008
11224,XO-6 b,768,4.4 Jupiters,10.247,2016
11225,XO-7 b,764,0.709 Jupiters,10.521,2019
11226,YSES 2 b,357,6.3 Jupiters,10.885,2021
11227,YZ Ceti b,12,0.7 Earths,12.074,2017
11228,YZ Ceti c,12,1.14 Earths,12.074,2017
11229,YZ Ceti d,12,1.09 Earths,12.074,2017
11230,Wolf 1061 b,14,1.91 Earths,10.1,2015
11231,Wolf 1061 c,14,3.41 Earths,10.1,2015
11232,Wolf 1061 d,14,7.7 Earths,10.1,2015
11233,Wolf 503 b,145,6.26 Earths,10.27,2018
11234,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11235,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11236,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11237,XO-1 b,534,0.83 Jupiters,11.251,2006
11238,XO-2 N b,503,0.566 Jupiters,11.246,2007
11239,XO-2 S b,494,0.26 Jupiters,11.196,2014
11240,XO-2 S c,494,1.37 Jupiters,11.196,2014
11241,XO-3 b,695,7.29 Jupiters,9.854,2007
11242,XO-4 b,889,1.42 Jupiters,10.814,2008
11243,XO-5 b,901,1.19 Jupiters,12.198,2008
11244,XO-6 b,768,4.4 Jupiters,10.247,2016
11245,XO-7 b,764,0.709 Jupiters,10.521,2019
11246,YSES 2 b,357,6.3 Jupiters,10.885,2021
11247,YZ Ceti b,12,0.7 Earths,12.074,2017
11248,YZ Ceti c,12,1.14 Earths,12.074,2017
11249,YZ Ceti d,12,1.09 Earths,12.074,2017
11250,Wolf 1061 b,14,1.91 Earths,10.1,2015
11251,Wolf 1061 c,14,3.41 Earths,10.1,2015
11252,Wolf 1061 d,14,7.7 Earths,10.1,2015
11253,Wolf 503 b,145,6.26 Earths,10.27,2018
11254,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11255,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11256,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11257,XO-1 b,534,0.83 Jupiters,11.251,2006
11258,XO-2 N b,503,0.566 Jupiters,11.246,2007
11259,XO-2 S b,494,0.26 Jupiters,11.196,2014
11260,XO-2 S c,494,1.37 Jupiters,11.196,2014
11261,XO-3 b,695,7.29 Jupiters,9.854,2007
11262,XO-4 b,889,1.42 Jupiters,10.814,2008
11263,XO-5 b,901,1.19 Jupiters,12.198,2008
11264,XO-6 b,768,4.4 Jupiters,10.247,2016
11265,XO-7 b,764,0.709 Jupiters,10.521,2019
11266,YSES 2 b,357,6.3 Jupiters,10.885,2021
11267,YZ Ceti b,12,0.7 Earths,12.074,2017
11268,YZ Ceti c,12,1.14 Earths,12.074,2017
11269,YZ Ceti d,12,1.09 Earths,12.074,2017
11270,Wolf 1061 b,14,1.91 Earths,10.1,2015
11271,Wolf 1061 c,14,3.41 Earths,10.1,2015
11272,Wolf 1061 d,14,7.7 Earths,10.1,2015
11273,Wolf 503 b,145,6.26 Earths,10.27,2018
11274,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11275,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11276,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11277,XO-1 b,534,0.83 Jupiters,11.251,2006
11278,XO-2 N b,503,0.566 Jupiters,11.246,2007
11279,XO-2 S b,494,0.26 Jupiters,11.196,2014
11280,XO-2 S c,494,1.37 Jupiters,11.196,2014
11281,XO-3 b,695,7.29 Jupiters,9.854,2007
11282,XO-4 b,889,1.42 Jupiters,10.814,2008
11283,XO-5 b,901,1.19 Jupiters,12.198,2008
11284,XO-6 b,768,4.4 Jupiters,10.247,2016
11285,XO-7 b,764,0.709 Jupiters,10.521,2019
11286,YSES 2 b,357,6.3 Jupiters,10.885,2021
11287,YZ Ceti b,12,0.7 Earths,12.074,2017
11288,YZ Ceti c,12,1.14 Earths,12.074,2017
11289,YZ Ceti d,12,1.09 Earths,12.074,2017
11290,Wolf 1061 b,14,1.91 Earths,10.1,2015
11291,Wolf 1061 c,14,3.41 Earths,10.1,2015
11292,Wolf 1061 d,14,7.7 Earths,10.1,2015
11293,Wolf 503 b,145,6.26 Earths,10.27,2018
11294,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11295,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11296,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11297,XO-1 b,534,0.83 Jupiters,11.251,2006
11298,XO-2 N b,503,0.566 Jupiters,11.246,2007
11299,XO-2 S b,494,0.26 Jupiters,11.196,2014
11300,XO-2 S c,494,1.37 Jupiters,11.196,2014
11301,XO-3 b,695,7.29 Jupiters,9.854,2007
11302,XO-4 b,889,1.42 Jupiters,10.814,2008
11303,XO-5 b,901,1.19 Jupiters,12.198,2008
11304,XO-6 b,768,4.4 Jupiters,10.247,2016
11305,XO-7 b,764,0.709 Jupiters,10.521,2019
11306,YSES 2 b,357,6.3 Jupiters,10.885,2021
11307,YZ Ceti b,12,0.7 Earths,12.074,2017
11308,YZ Ceti c,12,1.14 Earths,12.074,2017
11309,YZ Ceti d,12,1.09 Earths,12.074,2017
11310,Wolf 1061 b,14,1.91 Earths,10.1,2015
11311,Wolf 1061 c,14,3.41 Earths,10.1,2015
11312,Wolf 1061 d,14,7.7 Earths,10.1,2015
11313,Wolf 503 b,145,6.26 Earths,10.27,2018
11314,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11315,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11316,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11317,XO-1 b,534,0.83 Jupiters,11.251,2006
11318,XO-2 N b,503,0.566 Jupiters,11.246,2007
11319,XO-2 S b,494,0.26 Jupiters,11.196,2014
11320,XO-2 S c,494,1.37 Jupiters,11.196,2014
11321,XO-3 b,695,7.29 Jupiters,9.854,2007
11322,XO-4 b,889,1.42 Jupiters,10.814,2008
11323,XO-5 b,901,1.19 Jupiters,12.198,2008
11324,XO-6 b,768,4.4 Jupiters,10.247,2016
11325,XO-7 b,764,0.709 Jupiters,10.521,2019
11326,YSES 2 b,357,6.3 Jupiters,10.885,2021
11327,YZ Ceti b,12,0.7 Earths,12.074,2017
11328,YZ Ceti c,12,1.14 Earths,12.074,2017
11329,YZ Ceti d,12,1.09 Earths,12.074,2017
11330,Wolf 1061 b,14,1.91 Earths,10.1,2015
11331,Wolf 1061 c,14,3.41 Earths,10.1,2015
11332,Wolf 1061 d,14,7.7 Earths,10.1,2015
11333,Wolf 503 b,145,6.26 Earths,10.27,2018
11334,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11335,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11336,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11337,XO-1 b,534,0.83 Jupiters,11.251,2006
11338,XO-2 N b,503,0.566 Jupiters,11.246,2007
11339,XO-2 S b,494,0.26 Jupiters,11.196,2014
11340,XO-2 S c,494,1.37 Jupiters,11.196,2014
11341,XO-3 b,695,7.29 Jupiters,9.854,2007
11342,XO-4 b,889,1.42 Jupiters,10.814,2008
11343,XO-5 b,901,1.19 Jupiters,12.198,2008
11344,XO-6 b,768,4.4 Jupiters,10.247,2016
11345,XO-7 b,764,0.709 Jupiters,10.521,2019
11346,YSES 2 b,357,6.3 Jupiters,10.885,2021
11347,YZ Ceti b,12,0.7 Earths,12.074,2017
11348,YZ Ceti c,12,1.14 Earths,12.074,2017
11349,YZ Ceti d,12,1.09 Earths,12.074,2017
11350,Wolf 1061 b,14,1.91 Earths,10.1,2015
11351,Wolf 1061 c,14,3.41 Earths,10.1,2015
11352,Wolf 1061 d,14,7.7 Earths,10.1,2015
11353,Wolf 503 b,145,6.26 Earths,10.27,2018
11354,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11355,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11356,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11357,XO-1 b,534,0.83 Jupiters,11.251,2006
11358,XO-2 N b,503,0.566 Jupiters,11.246,2007
11359,XO-2 S b,494,0.26 Jupiters,11.196,2014
11360,XO-2 S c,494,1.37 Jupiters,11.196,2014
11361,XO-3 b,695,7.29 Jupiters,9.854,2007
11362,XO-4 b,889,1.42 Jupiters,10.814,2008
11363,XO-5 b,901,1.19 Jupiters,12.198,2008
11364,XO-6 b,768,4.4 Jupiters,10.247,2016
11365,XO-7 b,764,0.709 Jupiters,10.521,2019
11366,YSES 2 b,357,6.3 Jupiters,10.885,2021
11367,YZ Ceti b,12,0.7 Earths,12.074,2017
11368,YZ Ceti c,12,1.14 Earths,12.074,2017
11369,YZ Ceti d,12,1.09 Earths,12.074,2017
11370,Wolf 1061 b,14,1.91 Earths,10.1,2015
11371,Wolf 1061 c,14,3.41 Earths,10.1,2015
11372,Wolf 1061 d,14,7.7 Earths,10.1,2015
11373,Wolf 503 b,145,6.26 Earths,10.27,2018
11374,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11375,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11376,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11377,XO-1 b,534,0.83 Jupiters,11.251,2006
11378,XO-2 N b,503,0.566 Jupiters,11.246,2007
11379,XO-2 S b,494,0.26 Jupiters,11.196,2014
11380,XO-2 S c,494,1.37 Jupiters,11.196,2014
11381,XO-3 b,695,7.29 Jupiters,9.854,2007
11382,XO-4 b,889,1.42 Jupiters,10.814,2008
11383,XO-5 b,901,1.19 Jupiters,12.198,2008
11384,XO-6 b,768,4.4 Jupiters,10.247,2016
11385,XO-7 b,764,0.709 Jupiters,10.521,2019
11386,YSES 2 b,357,6.3 Jupiters,10.885,2021
11387,YZ Ceti b,12,0.7 Earths,12.074,2017
11388,YZ Ceti c,12,1.14 Earths,12.074,2017
11389,YZ Ceti d,12,1.09 Earths,12.074,2017
11390,Wolf 1061 b,14,1.91 Earths,10.1,2015
11391,Wolf 1061 c,14,3.41 Earths,10.1,2015
11392,Wolf 1061 d,14,7.7 Earths,10.1,2015
11393,Wolf 503 b,145,6.26 Earths,10.27,2018
11394,WTS-1 b,7653,4.01 Jupiters,16.644,2012
11395,WTS-2 b,3362,1.12 Jupiters,15.954,2014
11396,Xi Aquilae b,183,2.8 Jupiters,4.70964,2007
11397,XO-1 b,534,0.83 Jupiters,11.251,2006
11398,XO-2 N b,503,0.566 Jupiters,11.246,2007
11399,XO-2 S b,494,0.26 Jupiters,11.196,2014
11400,XO-2 S c,494,1.37 Jupiters,11.196,2014
11401,XO-3 b,695,7.29 Jupiters,9.854,2007
11402,XO-4 b,889,1.42 Jupiters,10.814,2008
11403,XO-5 b,901,1.19 Jupiters,12.198,2008
11404,XO-6 b,768,4.4 Jupiters,10.247,2016
11405,XO-7 b,764,0.709 Jupiters,10.521,2019
11406,YSES 2 b,357,6.3 Jupiters,10.885,2021
11407,YZ Ceti b,12,0.7 Earths,12.074,2017
11408,YZ Ceti c,12,1.14 Earths,12.074,2017
11409,YZ Ceti d,12,1.09 Earths,12.074,2017
11410,Wolf 1061 b,14,1.91 Earths,10.1,2015
